Salary,Born,City,Pr/St,Cntry,Nat,Ht,Wt,DftYr,DftRd,Ovrl,Hand,Last Name,First Name,Position,Team,GP,G,A,A1,A2,PTS,+/-,E+/-,PIM,Shifts,TOI,TOIX,TOI/GP,TOI/GP,TOI%,IPP%,SH%,SV%,PDO,F/60,A/60,Pct%,Diff,Diff/60,iCF,iCF,iFF,iSF,iSF,iSF,ixG,iSCF,iRB,iRS,iDS,sDist,sDist,Pass,iHF,iHF,iHA,iHDf,iMiss,iGVA,iTKA,iBLK,iGVA,iTKA,iBLK,BLK%,iFOW,iFOL,iFOW,iFOL,FO%,%FOT,dzFOW,dzFOL,nzFOW,nzFOL,ozFOW,ozFOL,FOW.Up,FOL.Up,FOW.Down,FOL.Down,FOW.Close,FOL.Close,OTG,1G,GWG,ENG,PSG,PSA,G.Bkhd,G.Dflct,G.Slap,G.Snap,G.Tip,G.Wrap,G.Wrst,CBar ,Post,Over,Wide,S.Bkhd,S.Dflct,S.Slap,S.Snap,S.Tip,S.Wrap,S.Wrst,iPenT,iPenD,iPENT,iPEND,iPenDf,NPD,Min,Maj,Match,Misc,Game,CF,CA,FF,FA,SF,SA,xGF,xGA,SCF,SCA,GF,GA,RBF,RBA,RSF,RSA,DSF,DSA,FOW,FOL,HF,HA,GVA,TKA,PENT,PEND,OPS,DPS,PS,OTOI,Grit,DAP,Pace,GS,GS/G
800000,1986-07-27,Lively,ON,CAN,CAN,73,195,,,,L,Desjardins,Andrew,LW/C,CHI,46,0,1,0,1,1,-6,0.8,22,607,25948,432.3,9.4,9.4,18.2,10,4.8,0.912,959,1.39,2.64,34.5,-9,-1.25,84,84,59,46,46,46,4.5,19,2,4,6,27,26.1,0,73,73,57,16,13,10,9,17,10,9,17,3.9,39,30,39,30,56.5,19.2,19,9,9,12,11,9,12,5,4,10,29,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,1,0,2,3,5,1,34,8,9,8,7,1,-1.1,6,2,0,0,0,386,439,272,307,209,215,17.4,21.2,51,71,10,19,11,14,19,22,30,36,164,196,183,229,65,55,19,20,-1.1,0.1,-1,1937.88,114,13.7,114.5,3.7,0.08
600000,1992-04-09,Ile Bizard,QC,CAN,CAN,74,204,2010,3,89,L,Chaput,Michael,C,VAN,68,4,5,2,3,9,-12,-5.7,29,1115,44970,749.1,11.02,11.02,20.5,56.3,4.7,0.924,971,1.28,2.48,34,-15,-1.2,113,113,80,64,64,64,6.6,29,9,5,14,28.4,24.5,79,68,68,52,16,16,14,13,29,14,13,29,4,203,182,203,182,52.7,59.5,61,60,86,70,56,52,74,59,65,68,143,116,0,0,0,0,0,0,0,1,2,0,0,0,1,0,1,0,15,5,5,5,5,4,0,40,13,8,13,7,-5,-5.9,12,1,0,0,0,611,733,450,555,339,409,22.9,32.5,81,102,16,31,18,26,25,23,43,49,330,317,327,307,71,77,45,38,-0.8,0.5,-0.3,2903.93,127,6.8,107.6,5.7,0.08
1000000,1988-03-17,Brandon,MB,CAN,CAN,72,200,2006,3,66,R,White,Ryan,C,ARI/MIN,65,9,7,4,3,16,-16,-9,84,948,41566,692.7,10.65,10.65,20.7,76.2,6.8,0.894,962,1.82,3.38,35,-18,-1.56,103,103,81,60,60,60,5.5,21,7,9,16,32.1,30.5,105.1,187,187,69,118,21,10,11,33,10,11,33,4.7,39,52,39,52,42.9,14.3,17,23,9,7,13,22,11,20,11,18,29,29,0,0,1,0,0,0,1,0,0,2,2,0,4,0,0,3,18,1,0,7,6,2,0,44,21,7,15,7,-14,-7,12,6,0,3,0,560,700,421,539,309,368,21.3,32.1,63,99,21,39,26,25,30,27,56,52,320,318,497,300,62,51,43,36,0.8,0.1,0.9,2649.17,310,16.5,109.1,7.8,0.12
925000,1996-06-20,Holland Landing,ON,CAN,CAN,73,186,2014,1,4,L,Bennett,Sam,C,CGY,81,13,13,7,6,26,-16,-0.6,75,1613,72839,1212.7,14.98,14.98,26.2,65,7.7,0.906,983,1.98,2.62,43,-13,-0.64,215,215,169,122,122,122,13.3,45,12,19,31,27,26.6,211.4,127,127,66,61,47,25,43,46,25,43,46,4.4,374,437,374,437,46.1,72.1,115,125,141,163,118,149,118,137,127,159,219,255,0,3,0,1,0,0,0,0,2,1,1,0,9,1,0,9,37,13,0,5,9,16,2,77,33,21,32,16,-12,-11.9,30,3,0,0,0,1004,1048,739,778,519,562,40.8,46.3,115,150,40,53,21,28,52,45,73,73,537,588,426,334,213,175,85,80,0.8,0.8,1.6,3411.7,251,5.7,101.5,21.6,0.27
950000,1989-04-20,Red Deer,AB,CAN,CAN,72,195,2007,4,112,R,Sceviour,Colton,C/RW,FLA,80,9,15,9,6,24,-16,-6.5,25,1596,70241,1169.7,14.63,14.63,26,68.6,6.3,0.911,974,1.8,2.82,38.9,-20,-1.03,264,264,220,172,172,172,14.5,51,17,13,30,31.2,28.7,265.1,108,108,93,15,48,23,40,64,23,40,64,5.8,31,27,31,27,53.4,5.2,12,10,6,4,13,13,15,10,7,10,18,15,0,2,1,0,0,0,1,0,0,1,0,0,7,0,2,1,45,18,1,24,34,5,9,81,10,12,11,7,2,-7.4,9,1,0,0,0,962,1113,740,838,556,619,41.5,54.1,123,171,35,55,33,42,51,52,84,94,543,572,482,360,177,157,66,67,0.4,0.9,1.3,3327.53,198,16.4,106.4,27.4,0.34
680000,1994-01-06,Edmonton,AB,CAN,CAN,74,187,2012,4,105,L,Kulak,Brett,D,CGY,21,0,3,2,1,3,-3,-0.4,12,415,17945,299.1,14.25,14.24,27.9,42.9,5.2,0.921,973,1.4,2.41,36.8,-5,-1,53,53,30,19,19,19,1,1,1,4,5,54.7,46.3,74.4,14,14,15,-1,11,10,4,13,10,4,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,8,6,0,0,5,6,1,5,0,-5,-3.5,6,0,0,0,0,271,262,187,205,134,152,11.7,12.1,36,33,7,12,12,9,15,15,27,24,128,127,145,115,55,30,22,24,-0.1,0.4,0.4,771.85,39,3,106.9,3,0.14
590000,1992-04-24,Oakville,ON,CAN,CAN,71,183,2011,7,209,L,Wilson,Scott,LW/C,PIT,78,8,18,11,7,26,0,7.8,32,1253,51220,853.5,10.95,10.95,21.7,72.2,7.8,0.916,994,2.53,2.46,50.7,1,0.07,215,214,172,127,127,127,13.9,52,8,10,18,27,25.6,249,167,167,171,-4,45,11,20,31,11,20,31,3.9,3,0,3,0,100,0.4,0,0,1,0,2,0,1,0,2,0,3,0,0,3,1,0,0,1,3,1,1,0,0,0,3,1,6,4,34,15,2,8,23,13,5,61,9,20,9,19,11,11.3,6,2,0,1,0,820,791,624,565,462,419,45,37.6,152,129,36,35,50,42,37,31,87,73,391,398,497,545,109,74,44,57,1.4,0.6,2,3086.34,232,31.2,113.3,29.6,0.38
650000,1991-05-13,St. Catharines,ON,CAN,CAN,74,203,2009,3,70,R,Beck,Taylor,LW,EDM/NYR,5,0,0,0,0,0,-3,-1.4,4,70,2643,44,8.82,8.81,17.2,0,0,0.87,870,0,4.09,0,-3,-4.09,11,11,5,5,5,5,0.3,2,0,0,0,23.6,23.3,0,5,5,6,-1,0,2,1,0,2,1,0,0,0,1,0,1,0,2.6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,2,0,1,0,-2,-1,2,0,0,0,0,33,44,20,32,15,23,0.9,3,4,12,0,3,0,4,1,1,1,5,19,19,21,20,10,2,3,2,-0.1,-0.1,-0.2,212.16,9,3,104.9,-0.9,-0.18
2250000,1986-04-28,Ostrava,,CZE,CZE,74,235,2004,6,180,R,Polak,Roman,D,TOR,75,4,7,2,5,11,10,-2.3,65,1817,80643,1339.2,17.83,17.87,32.5,25,7.6,0.93,1006,1.97,2.46,44.4,-11,-0.49,162,164,99,62,64,64,2.7,3,2,5,7,56.5,49.4,76.2,232,232,123,109,38,49,16,133,49,16,133,8.6,0,1,0,1,0,0.1,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,4,0,0,0,0,0,0,5,33,2,0,26,23,0,0,13,24,6,23,4,-18,-13.5,20,3,0,0,1,1085,1544,837,1140,577,781,54,75.4,182,255,44,55,25,46,62,66,87,112,613,639,676,647,236,231,90,70,0,3.2,3.2,2783.42,433,12.4,117.8,11.8,0.16
600000,1990-10-08,Faribault,MN,USA,USA,76,210,2009,4,114,L,Helgeson,Seth,D,N.J,9,1,0,0,0,1,2,0.4,15,177,7273,121.2,13.47,13.47,26.3,25,8.3,0.934,1018,1.98,1.98,50,0,0,11,11,8,3,3,3,0.2,0,0,0,0,53,44.3,0,16,16,6,10,5,0,0,11,0,0,11,9.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,1,2,0,0,0,3,0,3,1,-3,-1.5,0,3,0,0,0,90,111,74,81,48,61,4.4,5.3,13,11,4,4,2,8,0,6,2,14,55,62,63,34,8,5,11,5,0.1,0.5,0.6,340.46,45,0,99.5,1,0.11
