"REF_DATE","GEO","DGUID","Gender","Type of corporation","Country of control","Industry","Size of enterprise","Unit of measure","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Finance","Third quartile","Percentage","Percent","239","units","0","v1138043051","1.1.1.1.2.4.2","20.7","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Finance","Fourth quartile","Number","Number","223","units","0","v1138040801","1.1.1.1.2.5.1","660","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Finance","Fourth quartile","Percentage","Percent","239","units","0","v1138043501","1.1.1.1.2.5.2","22.8","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Finance","Unclassified size of enterprise","Number","Number","223","units","0","v1138041251","1.1.1.1.2.6.1","157","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Finance","Unclassified size of enterprise","Percentage","Percent","239","units","0","v1138043951","1.1.1.1.2.6.2","27.7","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Utilities","Total, all sizes","Number","Number","223","units","0","v1138039002","1.1.1.1.3.1.1","101","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Utilities","Total, all sizes","Percentage","Percent","239","units","0","v1138041702","1.1.1.1.3.1.2","22.3","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Utilities","First quartile","Number","Number","223","units","0","v1138039452","1.1.1.1.3.2.1","7","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Utilities","First quartile","Percentage","Percent","239","units","0","v1138042152","1.1.1.1.3.2.2","18.9","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Utilities","Second quartile","Number","Number","223","units","0","v1138039902","1.1.1.1.3.3.1","2","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Utilities","Second quartile","Percentage","Percent","239","units","0","v1138042602","1.1.1.1.3.3.2","5.1","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Utilities","Third quartile","Number","Number","223","units","0","v1138040352","1.1.1.1.3.4.1","17","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Utilities","Third quartile","Percentage","Percent","239","units","0","v1138043052","1.1.1.1.3.4.2","21.0","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Utilities","Fourth quartile","Number","Number","223","units","0","v1138040802","1.1.1.1.3.5.1","73","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Utilities","Fourth quartile","Percentage","Percent","239","units","0","v1138043502","1.1.1.1.3.5.2","25.8","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Utilities","Unclassified size of enterprise","Number","Number","223","units","0","v1138041252","1.1.1.1.3.6.1","2","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Utilities","Unclassified size of enterprise","Percentage","Percent","239","units","0","v1138043952","1.1.1.1.3.6.2","16.7","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Management of companies and enterprises","Total, all sizes","Number","Number","223","units","0","v1138039003","1.1.1.1.4.1.1","791","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Management of companies and enterprises","Total, all sizes","Percentage","Percent","239","units","0","v1138041703","1.1.1.1.4.1.2","18.8","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Management of companies and enterprises","First quartile","Number","Number","223","units","0","v1138039453","1.1.1.1.4.2.1","57","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Management of companies and enterprises","First quartile","Percentage","Percent","239","units","0","v1138042153","1.1.1.1.4.2.2","17.9","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Management of companies and enterprises","Second quartile","Number","Number","223","units","0","v1138039903","1.1.1.1.4.3.1","79","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Management of companies and enterprises","Second quartile","Percentage","Percent","239","units","0","v1138042603","1.1.1.1.4.3.2","18.8","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Management of companies and enterprises","Third quartile","Number","Number","223","units","0","v1138040353","1.1.1.1.4.4.1","133","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Management of companies and enterprises","Third quartile","Percentage","Percent","239","units","0","v1138043053","1.1.1.1.4.4.2","16.4","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Management of companies and enterprises","Fourth quartile","Number","Number","223","units","0","v1138040803","1.1.1.1.4.5.1","463","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Management of companies and enterprises","Fourth quartile","Percentage","Percent","239","units","0","v1138043503","1.1.1.1.4.5.2","19.4","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Management of companies and enterprises","Unclassified size of enterprise","Number","Number","223","units","0","v1138041253","1.1.1.1.4.6.1","59","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Management of companies and enterprises","Unclassified size of enterprise","Percentage","Percent","239","units","0","v1138043953","1.1.1.1.4.6.2","22.1","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Distributive trade","Total, all sizes","Number","Number","223","units","0","v1138039004","1.1.1.1.5.1.1","648","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Distributive trade","Total, all sizes","Percentage","Percent","239","units","0","v1138041704","1.1.1.1.5.1.2","15.1","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Distributive trade","First quartile","Number","Number","223","units","0","v1138039454","1.1.1.1.5.2.1","103","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Distributive trade","First quartile","Percentage","Percent","239","units","0","v1138042154","1.1.1.1.5.2.2","14.3","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Distributive trade","Second quartile","Number","Number","223","units","0","v1138039904","1.1.1.1.5.3.1","193","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Distributive trade","Second quartile","Percentage","Percent","239","units","0","v1138042604","1.1.1.1.5.3.2","14.4","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Distributive trade","Third quartile","Number","Number","223","units","0","v1138040354","1.1.1.1.5.4.1","178","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Distributive trade","Third quartile","Percentage","Percent","239","units","0","v1138043054","1.1.1.1.5.4.2","14.8","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Distributive trade","Fourth quartile","Number","Number","223","units","0","v1138040804","1.1.1.1.5.5.1","118","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Distributive trade","Fourth quartile","Percentage","Percent","239","units","0","v1138043504","1.1.1.1.5.5.2","18.3","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Distributive trade","Unclassified size of enterprise","Number","Number","223","units","0","v1138041254","1.1.1.1.5.6.1","56","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Distributive trade","Unclassified size of enterprise","Percentage","Percent","239","units","0","v1138043954","1.1.1.1.5.6.2","14.4","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Energy","Total, all sizes","Number","Number","223","units","0","v1138039005","1.1.1.1.6.1.1","171","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Energy","Total, all sizes","Percentage","Percent","239","units","0","v1138041705","1.1.1.1.6.1.2","13.8","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Energy","First quartile","Number","Number","223","units","0","v1138039455","1.1.1.1.6.2.1","17","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Energy","First quartile","Percentage","Percent","239","units","0","v1138042155","1.1.1.1.6.2.2","17.5","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Energy","Second quartile","Number","Number","223","units","0","v1138039905","1.1.1.1.6.3.1","8","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Energy","Second quartile","Percentage","Percent","239","units","0","v1138042605","1.1.1.1.6.3.2","8.0","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Energy","Third quartile","Number","Number","223","units","0","v1138040355","1.1.1.1.6.4.1","15","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Energy","Third quartile","Percentage","Percent","239","units","0","v1138043055","1.1.1.1.6.4.2","8.7","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Energy","Fourth quartile","Number","Number","223","units","0","v1138040805","1.1.1.1.6.5.1","130","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Energy","Fourth quartile","Percentage","Percent","239","units","0","v1138043505","1.1.1.1.6.5.2","15.4","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Energy","Unclassified size of enterprise","Number","Number","223","units","0","v1138041255","1.1.1.1.6.6.1","1","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Energy","Unclassified size of enterprise","Percentage","Percent","239","units","0","v1138043955","1.1.1.1.6.6.2","3.4","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Manufacturing","Total, all sizes","Number","Number","223","units","0","v1138039006","1.1.1.1.7.1.1","406","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Manufacturing","Total, all sizes","Percentage","Percent","239","units","0","v1138041706","1.1.1.1.7.1.2","13.1","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Manufacturing","First quartile","Number","Number","223","units","0","v1138039456","1.1.1.1.7.2.1","44","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Manufacturing","First quartile","Percentage","Percent","239","units","0","v1138042156","1.1.1.1.7.2.2","15.7","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Manufacturing","Second quartile","Number","Number","223","units","0","v1138039906","1.1.1.1.7.3.1","88","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Manufacturing","Second quartile","Percentage","Percent","239","units","0","v1138042606","1.1.1.1.7.3.2","11.4","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Manufacturing","Third quartile","Number","Number","223","units","0","v1138040356","1.1.1.1.7.4.1","95","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Manufacturing","Third quartile","Percentage","Percent","239","units","0","v1138043056","1.1.1.1.7.4.2","11.3","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Manufacturing","Fourth quartile","Number","Number","223","units","0","v1138040806","1.1.1.1.7.5.1","162","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Manufacturing","Fourth quartile","Percentage","Percent","239","units","0","v1138043506","1.1.1.1.7.5.2","16.2","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Manufacturing","Unclassified size of enterprise","Number","Number","223","units","0","v1138041256","1.1.1.1.7.6.1","17","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Manufacturing","Unclassified size of enterprise","Percentage","Percent","239","units","0","v1138043956","1.1.1.1.7.6.2","8.1","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Construction","Total, all sizes","Number","Number","223","units","0","v1138039007","1.1.1.1.8.1.1","140","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Construction","Total, all sizes","Percentage","Percent","239","units","0","v1138041707","1.1.1.1.8.1.2","12.5","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Construction","First quartile","Number","Number","223","units","0","v1138039457","1.1.1.1.8.2.1","39","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Construction","First quartile","Percentage","Percent","239","units","0","v1138042157","1.1.1.1.8.2.2","13.6","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Construction","Second quartile","Number","Number","223","units","0","v1138039907","1.1.1.1.8.3.1","36","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Construction","Second quartile","Percentage","Percent","239","units","0","v1138042607","1.1.1.1.8.3.2","13.0","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Construction","Third quartile","Number","Number","223","units","0","v1138040357","1.1.1.1.8.4.1","40","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Construction","Third quartile","Percentage","Percent","239","units","0","v1138043057","1.1.1.1.8.4.2","11.7","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Construction","Fourth quartile","Number","Number","223","units","0","v1138040807","1.1.1.1.8.5.1","23","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Construction","Fourth quartile","Percentage","Percent","239","units","0","v1138043507","1.1.1.1.8.5.2","16.2","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Construction","Unclassified size of enterprise","Number","Number","223","units","0","v1138041257","1.1.1.1.8.6.1","2","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Construction","Unclassified size of enterprise","Percentage","Percent","239","units","0","v1138043957","1.1.1.1.8.6.2","2.6","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Other industry","Total, all sizes","Number","Number","223","units","0","v1138039008","1.1.1.1.9.1.1","1389","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Other industry","Total, all sizes","Percentage","Percent","239","units","0","v1138041708","1.1.1.1.9.1.2","17.4","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Other industry","First quartile","Number","Number","223","units","0","v1138039458","1.1.1.1.9.2.1","414","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Other industry","First quartile","Percentage","Percent","239","units","0","v1138042158","1.1.1.1.9.2.2","17.7","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Other industry","Second quartile","Number","Number","223","units","0","v1138039908","1.1.1.1.9.3.1","343","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Other industry","Second quartile","Percentage","Percent","239","units","0","v1138042608","1.1.1.1.9.3.2","18.1","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Other industry","Third quartile","Number","Number","223","units","0","v1138040358","1.1.1.1.9.4.1","287","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Other industry","Third quartile","Percentage","Percent","239","units","0","v1138043058","1.1.1.1.9.4.2","16.6","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Other industry","Fourth quartile","Number","Number","223","units","0","v1138040808","1.1.1.1.9.5.1","250","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Other industry","Fourth quartile","Percentage","Percent","239","units","0","v1138043508","1.1.1.1.9.5.2","17.7","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Other industry","Unclassified size of enterprise","Number","Number","223","units","0","v1138041258","1.1.1.1.9.6.1","95","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Other industry","Unclassified size of enterprise","Percentage","Percent","239","units","0","v1138043958","1.1.1.1.9.6.2","15.8","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Unclassified industry","Total, all sizes","Number","Number","223","units","0","v1138039009","1.1.1.1.10.1.1","267","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Unclassified industry","Total, all sizes","Percentage","Percent","239","units","0","v1138041709","1.1.1.1.10.1.2","22.6","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Unclassified industry","First quartile","Number","Number","223","units","0","v1138039459","1.1.1.1.10.2.1","59","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Unclassified industry","First quartile","Percentage","Percent","239","units","0","v1138042159","1.1.1.1.10.2.2","19.1","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Unclassified industry","Second quartile","Number","Number","223","units","0","v1138039909","1.1.1.1.10.3.1","27","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Unclassified industry","Second quartile","Percentage","Percent","239","units","0","v1138042609","1.1.1.1.10.3.2","13.4","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Unclassified industry","Third quartile","Number","Number","223","units","0","v1138040359","1.1.1.1.10.4.1","36","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Unclassified industry","Third quartile","Percentage","Percent","239","units","0","v1138043059","1.1.1.1.10.4.2","19.7","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Unclassified industry","Fourth quartile","Number","Number","223","units","0","v1138040809","1.1.1.1.10.5.1","64","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Unclassified industry","Fourth quartile","Percentage","Percent","239","units","0","v1138043509","1.1.1.1.10.5.2","23.3","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Unclassified industry","Unclassified size of enterprise","Number","Number","223","units","0","v1138041259","1.1.1.1.10.6.1","81","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Unclassified industry","Unclassified size of enterprise","Percentage","Percent","239","units","0","v1138043959","1.1.1.1.10.6.2","38.4","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Canada","Total, all industries","Total, all sizes","Number","Number","223","units","0","v1138039010","1.1.1.2.1.1.1","3455","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Canada","Total, all industries","Total, all sizes","Percentage","Percent","239","units","0","v1138041710","1.1.1.2.1.1.2","19.7","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Canada","Total, all industries","First quartile","Number","Number","223","units","0","v1138039460","1.1.1.2.1.2.1","652","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Canada","Total, all industries","First quartile","Percentage","Percent","239","units","0","v1138042160","1.1.1.2.1.2.2","19.2","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Canada","Total, all industries","Second quartile","Number","Number","223","units","0","v1138039910","1.1.1.2.1.3.1","494","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Canada","Total, all industries","Second quartile","Percentage","Percent","239","units","0","v1138042610","1.1.1.2.1.3.2","18.8","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Canada","Total, all industries","Third quartile","Number","Number","223","units","0","v1138040360","1.1.1.2.1.4.1","616","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Canada","Total, all industries","Third quartile","Percentage","Percent","239","units","0","v1138043060","1.1.1.2.1.4.2","19.0","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Canada","Total, all industries","Fourth quartile","Number","Number","223","units","0","v1138040810","1.1.1.2.1.5.1","1350","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Canada","Total, all industries","Fourth quartile","Percentage","Percent","239","units","0","v1138043510","1.1.1.2.1.5.2","20.2","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Canada","Total, all industries","Unclassified size of enterprise","Number","Number","223","units","0","v1138041260","1.1.1.2.1.6.1","343","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Canada","Total, all industries","Unclassified size of enterprise","Percentage","Percent","239","units","0","v1138043960","1.1.1.2.1.6.2","22.4","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Canada","Finance","Total, all sizes","Number","Number","223","units","0","v1138039011","1.1.1.2.2.1.1","1134","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Canada","Finance","Total, all sizes","Percentage","Percent","239","units","0","v1138041711","1.1.1.2.2.1.2","23.7","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Canada","Finance","First quartile","Number","Number","223","units","0","v1138039461","1.1.1.2.2.2.1","209","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Canada","Finance","First quartile","Percentage","Percent","239","units","0","v1138042161","1.1.1.2.2.2.2","22.3","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Canada","Finance","Second quartile","Number","Number","223","units","0","v1138039911","1.1.1.2.2.3.1","129","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Canada","Finance","Second quartile","Percentage","Percent","239","units","0","v1138042611","1.1.1.2.2.3.2","21.3","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Canada","Finance","Third quartile","Number","Number","223","units","0","v1138040361","1.1.1.2.2.4.1","196","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Canada","Finance","Third quartile","Percentage","Percent","239","units","0","v1138043061","1.1.1.2.2.4.2","23.8","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Canada","Finance","Fourth quartile","Number","Number","223","units","0","v1138040811","1.1.1.2.2.5.1","468","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Canada","Finance","Fourth quartile","Percentage","Percent","239","units","0","v1138043511","1.1.1.2.2.5.2","23.8","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Canada","Finance","Unclassified size of enterprise","Number","Number","223","units","0","v1138041261","1.1.1.2.2.6.1","132","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Canada","Finance","Unclassified size of enterprise","Percentage","Percent","239","units","0","v1138043961","1.1.1.2.2.6.2","29.5","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Canada","Utilities","Total, all sizes","Number","Number","223","units","0","v1138039012","1.1.1.2.3.1.1","96","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Canada","Utilities","Total, all sizes","Percentage","Percent","239","units","0","v1138041712","1.1.1.2.3.1.2","23.9","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Canada","Utilities","First quartile","Number","Number","223","units","0","v1138039462","1.1.1.2.3.2.1","6","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Canada","Utilities","First quartile","Percentage","Percent","239","units","0","v1138042162","1.1.1.2.3.2.2","16.7","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Canada","Utilities","Second quartile","Number","Number","223","units","0","v1138039912","1.1.1.2.3.3.1","2","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Canada","Utilities","Second quartile","Percentage","Percent","239","units","0","v1138042612","1.1.1.2.3.3.2","9.1","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Canada","Utilities","Third quartile","Number","Number","223","units","0","v1138040362","1.1.1.2.3.4.1","15","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Canada","Utilities","Third quartile","Percentage","Percent","239","units","0","v1138043062","1.1.1.2.3.4.2","23.1","","","","1"
